"authorID";"authorName";"fullName";"gender";"religion"
39;"Asconius";"Quintus Asconius Pedianus ";"m";""
40;"Asellio ";"Sempronius Asellio ";"";""
41;"Asinius Gallus ";"Gaius Asinius Gallus ";"";""
42;"Asper ";"Aemilius Asper ";"";""
43;"Asserius";"Asserius";"m";""
44;"Ateius ";"Lucius Ateius Praetextatus ";"";""
45;"Atherianus ";"Iulius Atherianus ";"";""
46;"Atilius ";"Atilius ";"";""
47;"Atta ";"Titus Quinctius Atta ";"";""
48;"Attius Labeo ";"Attius Labeo ";"";""
49;"Aufidius ";"Aufidius Bassus ";"";""
50;"Aufustius ";"Aufustius ";"";""
51;"Augurinus ";"Sentius Augurinus ";"";""
52;"Augustine";"Aurelius Augustinus ";"m";""
53;"Augustus";"C. Iul. Caes. Augustus Octavianus ";"m";""
54;"Aulus Hirtius ";"Aulus Hirtius ";"";""
55;"Aurelian";"Caelius Aurelianus ";"";""
56;"Aurelius ";"Aurelius Opillus ";"";""
57;"Aurelius Victor";"Aurelius Victor";"m";""
58;"Ausonius";"Ausonius";"m";""
59;"Avianus";"Avianus";"m";""
60;"Avitus ";"Alfius Avitus ";"";""
61;"Bacon";"Bacon";"m";""
62;"Balbus";"Balbus, grom. ";"";""
63;"Balde";"Balde";"m";""
64;"Bassus ";"Gaius Caesius Bassus ";"";""
65;"Bede";"Bede";"m";""
66;"Bibaculus ";"Marcus Furius Bibaculus ";"";""
67;"Biblia Sacra";"Biblia Sacra";"m";""
68;"Bonaventure";"Bonaventure";"m";""
69;"Boskovic";"Boskovic";"m";""
70;"Boym";"Boym";"m";""
71;"Bruttedius ";"Bruttedius Niger ";"";""
72;"Brutus [iur.] ";"Marcus Iunius Brutus [iur.] ";"";""
73;"Brutus [tyr.] ";"Marcus Iunius Brutus [tyr.] ";"";""
74;"Caecina ";"Aulus Caecina ";"";""
75;"Caelius ";"Marcus Caelius Rufus ";"";""
76;"Caelius ";"Cn. Arulenus Caelius Sabinus ";"";""
77;"Caepasius ";"Gaius vel Lucius Caepasius ";"";""
78;"Caepio ";"Quintus Servilius Caepio ";"";""
79;"Caesar";"Gaius Iulius Caesar";"m";""
80;"Calidius ";"Marcus Calidius ";"";""
81;"Calvus ";"Gaius Licinius Macer Calvus ";"";""
82;"Campion";"Campion";"m";""
83;"Cannutius ";"Publius Cannutius ";"";""
84;"Caper ";"Flavius Caper ";"";""
85;"Capito ";"Gaius Ateius Capito ";"";""
86;"Carbo ";"Gaius Papirius Carbo ";"";""
87;"Carbo Arvina ";"Gaius Papirius Carbo Arvina ";"";""
88;"Cascellius ";"Aulus Cascellius ";"";""
89;"Cassiodorus";"Cassiodorus";"m";""
90;"Cassius Longinus ";"Lucius Cassius Longinus ";"";""
91;"Cato (M.f.M.n)";"Marcus Porcius Cato M.f.M.n. ";"";""
92;"Cato the Elder";"Marcus Porcius Cato ";"m";""
93;"Cato the Younger";"Marcus Porcius Cato Uticensis ";"";""
94;"Catullus";"Gaius Valerius Catullus ";"m";""
95;"Catulus iunior ";"Q. Lutatius Catulus iunior ";"";""
96;"Celsus";"Aulus Cornelius Celsus ";"m";""
97;"Celsus ";"";"";""
98;"Censorinus";"Censorinus";"m";""
99;"Chalcidius ";"Chalcidius ";"";""
100;"Cicero ";"Marcus Tullius Cicero ";"";""
101;"Cincius ";"Lucius Cincius Alimentus ";"";""
102;"Cincius ";"Lucius Cincius ";"";""
103;"Cinna ";"Gaius Helvius Cinna ";"";""
104;"Claudian";"Claudian";"m";""
105;"Claudius";"Claudius Caesar Germanicus ";"m";""
106;"Cloatius ";"Cloatius Verus ";"";""
107;"Clodius ";"Publius Clodius Pulcher ";"";""
108;"Clodius Tuscus ";"Clodius Tuscus ";"";""
109;"Columella";"L. Iunius Moderatus Columella ";"m";""
110;"Cominius ";"Publius Cominius ";"";""
111;"Conradus Celtis";"Conradus Celtis";"m";""
112;"Cornelia";"Cornelia, mater Gracchorum ";"";""
113;"Cornelius Gallus ";"Gaius Cornelius Gallus ";"";""
114;"Cornelius Severus ";"Cornelius Severus ";"";""
115;"Cornificius Gallus ";"Cornificius Gallus ";"";""
116;"Cornificius Longus ";"Cornificius Longus ";"";""
117;"Cornutus ";"Lucius Annaeus Cornutus ";"";""
118;"Cotta";"Gaius Aurelius Cotta ";"m";""
119;"Crassus ";"Lucius Licinius Crassus ";"";""
120;"Cremutius ";"Aulus Cremutius Cordus ";"";""
121;"Dante";"Dante";"m";""
122;"Declaratio Arbroathis";"Declaratio Arbroathis";"m";""
123;"Descartes";"Descartes";"m";""
124;"Dolabella ";"Publius Cornelius Dolabella ";"";""
125;"Domitius Marsus ";"Domitius Marsus ";"";""
126;"Donatus";"Donatus";"m";""
127;"Dorcatius ";"Dorcatius ";"";""
128;"Dossennus ";"Fabius Dossennus ";"";""
129;"Duronius ";"Marcus Duronius ";"";""
130;"Egnatius ";"Egnatius ";"";""
131;"Einhard";"Einhard";"m";""
132;"Ennius";"Quintus Ennius ";"m";""
133;"Epicadus ";"Cornelius Epicadus ";"";""
134;"Erasmus";"Erasmus";"m";""
135;"Erucius ";"Gaius Erucius ";"";""
136;"Eucherius";"Eucherius";"m";""
137;"Eutropius";"Eutropius";"m";""
138;"Exsuperantius";"Exsuperantius";"m";""
139;"Fabius Maximus Servilianus ";"Q. Fabius Maximus Servilianus ";"";""
140;"Fabius Pictor ";"Fabius Pictor ";"";""
141;"Fabricius Montanus";"Fabricius Montanus";"m";""
142;"Fannius ";"Gaius Fannius ";"";""
143;"Favorinus ";"Favorinus ";"";""
144;"Fenestella ";"Fenestella ";"f";""
145;"Festus";"Festus";"m";""
146;"Ficino";"Ficino";"m";""
147;"Flaccus";"Calpurnius Flaccus";"m";""
148;"Florus";"Annius Florus ";"m";""
149;"Foedus Aeternum";"Foedus Aeternum";"m";""
150;"Forsett";"Forsett";"m";""
151;"Frontinus";"Sextus Iulius Frontinus ";"m";""
152;"Fronto";"Marcus Cornelius Fronto ";"m";""
153;"Furius ";"Aulus Furius Antias ";"";""
154;"Gaetulicus ";"Cn. Cornel. Lentulus Gaetulicus ";"";""
155;"Gaius";"Gaius, iur. ";"m";""
156;"Gaius Clodius Licinus ";"Gaius Clodius Licinus ";"";""
157;"Gaius Gracchus ";"Gaius Sempronius Gracchus ";"";""
158;"Gaius Scribonius Curio pater ";"Gaius Scribonius Curio pater ";"";""
159;"Galileo";"Galileo";"m";""
160;"Gannius ";"Gannius ";"";""
161;"Gavius ";"Gavius Bassus ";"";""
162;"Gellius";"Aulus Gellius ";"m";""
163;"Gellius ";"Gnaeus Gellius ";"";""
164;"Germanicus";"Germanicus Caesar";"m";""
165;"Gesta Romanorum";"Gesta Romanorum";"m";""
166;"Girolamo Vida";"Girolamo Vida";"m";""
167;"Glaucia ";"Gaius Servilius Glaucia ";"";""
168;"Godfrey of Winchester";"Godfrey of Winchester";"m";""
169;"Gracchanus ";"Marcus Iunius Gracchanus ";"";""
170;"Gracchus, trag. ";"Gracchus, trag. ";"";""
171;"Granius Flaccus ";"Granius Flaccus ";"";""
172;"Granius Licinianus";"Granius Licinianus";"m";""
173;"Granius Licinianus ";"Granius Licinianus ";"";""
174;"Grattius";"Grattius";"m";""
175;"Grattius ";"Grattius ";"";""
176;"Gregory of Tours";"Gregory of Tours";"m";""
177;"Gregory the Great";"Gregory the Great";"m";""
178;"Gwinne";"Gwinne";"m";""
179;"Hadrianus ";"Hadrianus ";"";""
180;"Hemina ";"Gaius Cassius Hemina ";"";""
181;"Henry VII";"Henry VII";"m";""
182;"Herennius ";"Lucius Herennius Balbus ";"";""
183;"Hilarius Arelatensis ";"Hilarius Arelatensis ";"";""
184;"Historia Apolloni";"Historia Apolloni";"m";""
185;"Homerus Latinus ";"Homerus Latinus ";"";""
186;"Horace ";"Quintus Horatius Flaccus ";"";""
187;"Hortensius Hortalus ";"Quintus Hortensius Hortalus ";"";""
188;"Hostius ";"Hostius ";"";""
189;"Hugo of St. Victor";"Hugo of St. Victor";"m";""
190;"Hyginus";"Gaius Iulius Hyginus ";"m";""
191;"Hyginus Astronomus ";"Hyginus Astronomus ";"";""
192;"Hyginus Gromaticus ";"Hyginus Gromaticus ";"";""
193;"Hyginus, myth. ";"Hyginus, myth. ";"";""
194;"Iacobus de Voragine";"Iacobus de Voragine";"m";""
195;"Isidore of Seville";"Isidore of Seville";"m";""
196;"Iuventius, comoed. ";"Iuventius, comoed. ";"";""
197;"Janus Secundus";"Janus Secundus";"m";""
198;"Jerome";"Jerome";"m";""
199;"Jordanes";"Jordanes";"m";""
200;"Junillus";"Junillus";"m";""
201;"Justin";"Justin";"m";""
202;"Justinian";"Iustinianus ";"m";""
203;"Juvenal";"Decimus Iunius Iuvenalis ";"m";""
204;"Laberius ";"Decimus Laberius ";"";""
205;"Labienus ";"Titus Labienus ";"";""
206;"Lactantius";"Lactantius";"m";""
207;"Laelius Felix ";"Laelius Felix ";"";""
208;"Laelius Sapiens";"Gaius Laelius Sapiens ";"";""
209;"Laevius ";"Laevius ";"";""
210;"Landor";"Landor";"m";""
211;"Lanuvinus ";"Luscius Lanuvinus ";"";""
212;"Largus ";"Scribonius Largus ";"";""
213;"Lentulus Marcell. ";"Cn. Cornel. Lentulus Marcell. ";"";""
214;"Lentulus, mimus ";"Lentulus, mimus ";"";""
215;"Lepidus Porcina ";"M. Aemilius Lepidus Porcina ";"";""
216;"Lhomond ";"Lhomond ";"m";""
217;"Licinius Imbrex ";"Licinius Imbrex ";"";""
218;"Licinius Macer ";"Gaius Licinius Macer ";"";""
219;"Livy";"Titus Livius";"m";""
220;"Lotichius";"Lotichius";"m";""
221;"Lucan";"Marcus Annaeus Lucanus ";"m";""
222;"Lucilius";"Gaius Lucilius ";"m";""
223;"Lucilius iunior ";"Lucilius iunior ";"";""
224;"Lucius Caesar ";"Lucius Iulius Caesar ";"";""
225;"Lucius Coelius Antipater ";"Lucius Coelius Antipater ";"";""
226;"Lucretius";"Titus Lucretius Carus ";"m";""
227;"Lutatius ";"Quintus Lutatius Catulus ";"";""
228;"Luther";"Luther";"m";""
229;"Macrobius";"Macrobius";"m";""
230;"Maecenas ";"Gaius Cilnius Maecenas ";"";""
231;"Maecianus ";"Lucius Volusius Maecianus ";"";""
232;"Magna Carta";"Magna Carta";"m";""
233;"Maidstone";"Maidstone";"m";""
234;"Mancia ";"Helvius Mancia ";"";""
235;"Manilius";"Marcus Manilius ";"m";""
236;"Manilius, poet. ";"Manilius, poet. ";"";""
237;"Manius Manilius ";"Manius Manilius ";"";""
238;"Marcius ";"Gnaeus Marcius vates ";"";""
239;"Marcus Aurelius ";"Marcus Aurelius ";"";""
240;"Marcus Iuventius Laterensis ";"Marcus Iuventius Laterensis ";"";""
241;"Marcus Tullius Cicero";"Cicero";"m";""
242;"Marianus ";"Marianus ";"";""
243;"Mark Antony";"Marcus Antonius triumvir ";"";""
244;"Martial";"Marcus Valerius Martialis ";"m";""
245;"Marullo";"Marullus ";"m";""
246;"Matius ";"Gnaeus Matius ";"";""
247;"Maurus ";"Terentianus Maurus ";"";""
248;"Maximianus";"Maximianus";"m";""
249;"May";"May";"m";""
250;"Mela";"Pomponius Mela";"m";""
251;"Melanchthon";"Melanchthon";"m";""
252;"Memmius ";"Gaius Memmius ";"";""
253;"Memmius L. f. ";"Gaius Memmius L. f. ";"";""
254;"Messalla Corvinus ";"M. Valerius Messalla Corvinus ";"";""
255;"Messalla Rufus ";"M. Valerius Messalla Rufus ";"";""
256;"Metellus ";"Caecilius Metellus ";"";""
257;"Metellus Maced. ";"Q. Caecilius Metellus Maced. ";"";""
258;"Metellus Numid. ";"Q. Caecilius Metellus Numid. ";"";""
259;"Milton";"Milton";"m";""
260;"Mimi Poetarum Incertorum ";"Mimi Poetarum Incertorum ";"";""
261;"Minucius Felix";"Minucius Felix";"m";""
262;"Mirandola";"Mirandola";"m";""
263;"Modestus ";"Iulius Modestus ";"";""
264;"Montanus ";"Iulius Montanus ";"";""
265;"Mucianus ";"Gaius Licinius Mucianus ";"";""
266;"Mummius ";"Mummius ";"";""
267;"Naevius";"Gnaeus Naevius ";"m";""
268;"Naevius, iunior ";"Naevius, iunior ";"";""
269;"Namusa ";"Publius Aufidius Namusa ";"";""
270;"Navagero";"Navagero";"m";""
271;"Nemesianus";"Nemesianus";"m";""
272;"Nennius";"Nennius";"m";""
273;"Nepos";"Cornelius Nepos";"m";""
274;"Neratius ";"Lucius Neratius Priscus ";"";""
275;"Nero ";"Imperator Nero ";"";""
276;"Newton";"Newton";"m";""
277;"Nigidius ";"Publius Nigidius Figulus ";"";""
278;"Ninnius ";"Ninnius Crassus ";"";""
279;"Nithardus";"Nithardus";"m";""
280;"Novius ";"Lucius Novius ";"";""
281;"Novius, comoed. ";"Novius, comoed. ";"";""
282;"Numitorius ";"Numitorius ";"";""
283;"Obsequens";"Julius Obsequens";"m";""
284;"Oppius ";"Gaius Oppius ";"";""
285;"Orbilius ";"Lucius Orbilius Pupillus ";"";""
286;"Orosius";"Orosius";"m";""
287;"Ovid";"Publius Ovidius Naso";"m";""
288;"Owen";"Owen";"m";""
289;"Paconianus ";"Sextus Paconianus ";"";""
290;"Pacuvius";"Marcus Pacuvius ";"m";""
291;"Palaemon ";"Quintus Remmius Palaemon ";"";""
292;"Papinius, epigram. ";"Papinius, epigram. ";"";""
293;"Parthenius Presbyter ";"Parthenius Presbyter ";"";""
294;"Pascoli";"Pascoli";"m";""
295;"Passerat";"Passerat";"m";""
296;"Passienus Crispus ";"Passienus Crispus ";"";""
297;"Paulinus of Pella";"Paulinus of Pella";"m";""
298;"Paulus ";"L. Aemilius L.f.M.n. Paulus ";"";""
299;"Paulus Diaconus";"Paulus Diaconus";"m";""
300;"Paulus Quaestor ";"Paulus Quaestor ";"";""
301;"Pedo ";"Albinovanus Pedo ";"";""
302;"Persius";"Aulus Persius Flaccus ";"m";""
303;"Persius ";"";"";""
304;"Petrarch";"Petrarch";"m";""
305;"Petronius";"Petronius";"m";""
306;"Phaedrus";"Phaedrus";"m";""
307;"Philippus ";"Lucius Marcius Philippus ";"";""
308;"Philumenus medicus ";"Philumenus medicus ";"";""
309;"Phineas Fletcher";"Phineas Fletcher";"m";""
310;"Piccolomini";"Piccolomini";"m";""
311;"Piso ";"Gaius Calpurnius Piso ";"";""
312;"Piso  Frugi ";"Lucius Calpurnius Piso Frugi ";"";""
313;"Planctus destructionis ";"Planctus destructionis ";"m";""
314;"Plautus";"Titus Maccius Plautus ";"m";""
315;"Plautus ";"";"";""
316;"Pliny the Elder";"Gaius Plinius Secundus";"m";""
317;"Pliny the Younger";"C. Plinius Caecilius Secundus ";"m";""
318;"Poggio Bracciolini";"Poggio Bracciolini";"m";""
319;"Pollio ";"Gaius Asinius Pollio ";"";""
320;"Pompeius Q.f.A.n. Rufus ";"Q. Pompeius Q.f.A.n. Rufus ";"";""
321;"Pompilius ";"Pompilius ";"";""
322;"Pomponius Bononiensis ";"Lucius Pomponius Bononiensis ";"";""
323;"Pomponius Secundus ";"Publius Pomponius Secundus ";"";""
324;"Pontano";"Pontano";"m";""
325;"Porcius Licinus ";"Porcius Licinus ";"";""
326;"Porphyrio ";"Pomponius Porphyrio ";"";""
327;"Priapea";"Priapea";"m";""
328;"Probus ";"Marcus Valerius Probus ";"";""
329;"Propertius";"Sextus Propertius ";"m";""
330;"Prudentius";"Prudentius";"m";""
331;"Pseudoplatonica";"Pseudoplatonica";"m";""
332;"Pseudo-Varro ";"Pseudo-Varro ";"";""
333;"Publilius";"Publilius Optatianus Porfyrius ";"";""
334;"Pupius";"Pupius (?) ";"";""
335;"Quadrigarius ";"Quintus Claudius Quadrigarius ";"";""
336;"Quinctius ";"Lucius Quinctius ";"";""
337;"Quintilian";"Marcus Fabius Quintilianus ";"m";""
338;"Quintus Cicero";"Quintus Tullius Cicero ";"m";""
339;"Quintus Cornificius ";"Quintus Cornificius ";"";""
340;"Quintus Curtius";"Quintus Curtius Rufus";"m";""
341;"Quintus Horatius Flaccus";"Horace";"m";""
342;"Rabirius ";"Rabirius ";"";""
343;"Ricardi de Bury";"Ricardi de Bury";"m";""
344;"Rimbaud";"Rimbaud";"m";""
345;"Ruaeus";"Ruaeus";"m";""
346;"Rutilius ";"Publius Rutilius Rufus ";"";""
347;"Rutilius Lupus ";"Publius Rutilius Lupus ";"";""
348;"Rutilius Namatianus";"Rutilius Namatianus";"m";""
349;"Sabidius ";"Sabidius ";"";""
350;"Sallust";"Gaius Sallusius Crispus";"m";""
351;"Sammonicus";"Quintus Serenus (Sammonicus) ";"m";""
352;"Sannazaro";"Sannazaro";"m";""
353;"Santra ";"Santra ";"";""
354;"Saserna ";"Saserna ";"";""
355;"Saturius ";"Publius Saturius ";"";""
356;"Scaevola ";"Publius Mucius Scaevola ";"";""
357;"Scaevola ";"Quintus Mucius Scaevola ";"";""
358;"Scaevola [pontifex] ";"Q. Mucius Scaevola [pontifex] ";"";""
359;"Scaevus ";"Scaevus Memor ";"";""
360;"Scaliger";"Scaliger";"m";""
361;"Scaurus ";"Marcus Aemilius Scaurus ";"";""
362;"Scaurus ";"Quintus Terentius Scaurus ";"";""
363;"Scipio Aem. Afr. ";"P. Cornel. Scipio Aem. Afr. ";"";""
364;"Scipio Afr. ma. ";"P. Cornel. Scipio Afr. ma. ";"";""
365;"Scipio Nasica Ser. ";"P. Cornel. Scipio Nasica Ser. ";"";""
366;"Scribonius Curio avus ";"Gaius Scribonius Curio avus ";"";""
367;"Sedulius";"Sedulius";"m";""
368;"Seneca the Elder";"Lucius Annaeus Seneca senior ";"m";""
369;"Seneca the Younger";"Lucius Annaeus Seneca iunior ";"m";""
370;"Septem Sapientum";"Septem Sapientum";"m";""
371;"Septimius Serenus ";"Septimius Serenus ";"";""
372;"Servius Clodius ";"Servius Clodius ";"";""
373;"Servius Honoratus ";"Maurus Servius Honoratus ";"";""
374;"Sevius Nicanor ";"Sevius Nicanor ";"";""
375;"Sextilius Ena ";"Sextilius Ena ";"";""
376;"Sextus (vel Spurius) Ennius ";"Sextus (vel Spurius) Ennius ";"";""
377;"Sextus Pompeius Festus";"Sextus Pompeius Festus";"m";""
378;"Sextus Pomponius ";"Sextus Pomponius ";"";""
379;"Siculus";"Titus Calpurnius Siculus ";"m";""
380;"Siculus Flaccus ";"Siculus Flaccus ";"";""
381;"Silanus ";"Decimus Iunius Silanus ";"";""
382;"Silius Italicus";"Silius Italicus";"m";""
383;"Sinnius Capito ";"Sinnius Capito ";"";""
384;"Sisenna";"Lucius Cornelius Sisenna ";"m";""
385;"Staberius Eros ";"Staberius Eros ";"";""
386;"Statius";"Publius Papinius Statius ";"m";""
387;"Statius ";"Caecilius Statius ";"";""
388;"Stephanus de Varda";"Stephanus de Varda";"m";""
389;"Stilo ";"L. Aelius Praeconinus Stilo ";"";""
390;"Strabo ";"Gaius Iulius Caesar Strabo ";"";""
391;"Sueius ";"Sueius ";"";""
392;"Suetonius";"Gaius Suetonius Tranquillus ";"m";""
393;"Sulla ";"Lucius Cornelius Sulla ";"";""
394;"Sulpicia";"Sulpicia, Caleni uxor ";"f";""
395;"Sulpicius ";"Servius Sulpicius Rufus ";"";""
396;"Sulpitius Severus";"Sulpitius Severus";"m";""
397;"Symmachus ";"Q. Aurelius Symmachus ";"";""
398;"Symmachus ";"L. Aurel. Avianius Symmachus ";"";""
399;"Syrus";"Publilius Syrus ";"m";""
400;"Tacitus";"Cornelius Tacitus ";"m";""
401;"Tarquitius ";"Tarquitius Priscus ";"";""
402;"Terence";"Publius Terentius Afer ";"m";""
403;"Tertullian";"Tertullian";"m";""
404;"Theganus";"Theganus";"m";""
405;"Theodosian Code";"Theodosian Code";"m";""
406;"Theophanes";"Theophanes";"m";""
407;"Thomas à Kempis";"Thomas à Kempis";"m";""
408;"Tibullus";"Albius Tibullus ";"m";""
409;"Tibullus ";"";"";""
410;"Ticidas ";"Ticidas ";"";""
411;"Tiro ";"Marcus Tullius Tiro ";"";""
412;"Titinius ";"Titinius ";"";""
413;"Titius ";"Gaius Titius ";"";""
414;"Titius, gram. ";"Titius, gram. ";"";""
415;"Trabea ";"Trabea ";"";""
416;"Trajan";"Imp. Marcus Ulpius Traianus ";"";""
417;"Trebatius ";"Gaius Trebatius Testa ";"";""
418;"Tremelius ";"Gnaeus Tremelius Scrofa ";"";""
419;"Trogus";"Pompeius Trogus ";"u";""
420;"Trogus ";"";"";""
421;"Tubero ";"Quintus Aelius Tubero ";"";""
422;"Tullius Laurea ";"Tullius Laurea ";"";""
423;"Turnus ";"Turnus ";"";""
424;"Turpilius ";"Sextus Turpilius ";"";""
425;"Turranius Niger ";"Turranius Niger ";"";""
426;"Vagellius ";"Vagellius ";"";""
427;"Valerius ";"Iulius Valerius ";"";""
428;"Valerius Antias ";"Valerius Antias ";"";""
429;"Valerius Flaccus";"Gaius Valerius Flaccus ";"m";""
430;"Valerius Maximus";"Valerius Maximus";"m";""
431;"Valerius Soranus ";"Quintus Valerius Soranus ";"";""
432;"Valerius, comoed. ";"Valerius, comoed. ";"";""
433;"Valgius Rufus ";"Gaius Valgius Rufus ";"";""
434;"Varius Rufus ";"Lucius Varius Rufus ";"";""
435;"Varro";"Marcus Terentius Varro ";"m";""
436;"Varro ";"Marcus Terentius Varro ";"";""
437;"Varro Atacinus ";"P. Terentius Varro Atacinus ";"";""
438;"Vegetius";"Vegetius";"m";""
439;"Vegius";"Vegius";"m";""
440;"Velius Longus ";"Velius Longus ";"";""
441;"Velleius Paterculus";"Velleius Paterculus";"m";""
442;"Veranius ";"Veranius ";"";""
443;"Verginius Rufus ";"Lucius Verginius Rufus ";"";""
444;"Verrius Flaccus ";"Marcus Verrius Flaccus ";"";""
445;"Vibius Crispus ";"Vibius Crispus ";"";""
446;"Vico";"Vico";"m";""
447;"Vindex ";"Caesellius Vindex ";"";""
448;"Virgil";"Publius Vergilius Maro";"m";""
449;"Vitruvius";"Vitruvius";"m";""
450;"Volcacius Sedigitus ";"Volcacius Sedigitus ";"";""
451;"Volumnius ";"Volumnius ";"";""
452;"Waardenburg";"Waardenburg";"m";""
453;"Zeno";"Zeno of Verona ";"";""
